StartDate,EndDate,Finished,DistributionChannel,UserLanguage,Q0.1,Q0.2,Q0.2_4_TEXT,Q0.3,Q0.4,Q0.4_8_TEXT,0.4_1,Q0.5,Q0.6,Q0.7,,Q0.8_1,Q0.8_2,Q0.8_3,Q0.8_4,Q1.1_1,Q1.1_2,Q1.1_3,Q1.1_4,Q1.2_1,Q1.2_2,Q1.2_3,Q1.2_4,Q1.2_5,Q1.2_6,Q1.2_7,Q1.2_8,Q1.2_9,Q1.2_10,Q1.2_10_TEXT,Q1.3_1,Q1.3_2,Q1.3_3,Q1.3_4,Q1.3_5,Q1.3_6,Q1.3_7,Q1.3_8,Q1.3_9,Q1.3_10,Q1.3_10_TEXT,Q1.4_1,Q1.4_2,Q1.4_3,Q1.4_4,Q1.4_5,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q3.1,Q3.1.1,3.1.1_4_TEXT,Q3.2,Q3.3,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q3.4_5,Q3.4_6,,Q4.1,Q4.1.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.2_6,Q4.2_7,Q4.2_8,Q4.2_9,Q4.2_9_TEXT,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,,Q4.5,Q5.1,Q5.1_8_TEXT,Q5.2,Q5.3_1,Q5.3_2,Q5.3_3,Q5.3_4,Q5.3_5,Q5.3_6,Q5.4_1,Q5.4_2,Q5.4_3,Q5.4_4,Q5.4_5,Q5.4_6,Q6.1_1,Q6.1_2,Q6.1_3,Q6.1_4,Q6.1_5,Q6.1_6,Q6.1_7,,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,,Q6.3,Q6.4,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.2,Q7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,End Date,Finished,Distribution Channel,User Language,Which profile matches the work you perform?,What type of organization do you work for? - Selected Choice,What type of organization do you work for? - Other - Text,List of Countries,What is your professional title? - Selected Choice,What is your professional title? - Other - Text,In which discipline(s) do you perform research?,What is your age?,How many years have you worked in research?,What is your gender? - Selected Choice,,How often do you work on projects that have the following team size? - 1 person,How often do you work on projects that have the following team size? - 2 - 5 people,How often do you work on projects that have the following team size? - 6 - 20 people,How often do you work on projects that have the following team size? - More than 20 people,To what extent was the software targeted at each of these groups of users? - Just me,To what extent was the software targeted at each of these groups of users? - Just my team,To what extent was the software targeted at each of these groups of users? - Just my discipline,To what extent was the software targeted at each of these groups of users? - More than one discipline,What percent of your time did you actually spend in the following activities (total should be 100%)? - Requirements gathering / documentation,What percent of your time did you actually spend in the following activities (total should be 100%)? - Software architecture / design,What percent of your time did you actually spend in the following activities (total should be 100%)? - Coding,What percent of your time did you actually spend in the following activities (total should be 100%)? - Testing,What percent of your time did you actually spend in the following activities (total should be 100%)? - Debugging,What percent of your time did you actually spend in the following activities (total should be 100%)? - Maintenance,What percent of your time did you actually spend in the following activities (total should be 100%)? - Documentation,What percent of your time did you actually spend in the following activities (total should be 100%)? - Meetings,What percent of your time did you actually spend in the following activities (total should be 100%)? - Training,What percent of your time did you actually spend in the following activities (total should be 100%)? - Other,What percent of your time did you actually spend in the following activities (total should be 100%)? - Other - Text,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Requirements gathering / documentation,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Software architecture / design,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Coding,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Testing,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Debugging,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Maintenance,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Documentation,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Meetings,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Training,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Other,What percent of time would you have liked to have spent in each activity (total should be 100%)? - Other - Text,Which of the following types of testing did you employ? - Unit,Which of the following types of testing did you employ? - Integration,Which of the following types of testing did you employ? - System,Which of the following types of testing did you employ? - User,Which of the following types of testing did you employ? - Regression,Did you release the software under an open-source license?,"In the last 5 years, how much experience do you have with each of the following types of projects: - Single developer","In the last 5 years, how much experience do you have with each of the following types of projects: - Co-located team (i.e. a team, located in a single place or institution with well-coordinated funding/organization)","In the last 5 years, how much experience do you have with each of the following types of projects: - Distributed team (i.e. a well-defined team, located in multiple places or institutions with well-coordinated funding/organization)","In the last 5 years, how much experience do you have with each of the following types of projects: - Open source community (i.e. a group of developers who are distributed and working under multiple independent funding sources)",How well do current tools support each of the following activities? - Requirements gathering / documentation,How well do current tools support each of the following activities? - Software architecture / design,How well do current tools support each of the following activities? - Coding,How well do current tools support each of the following activities? - Testing,How well do current tools support each of the following activities? - Debugging,How well do current tools support each of the following activities? - Maintenance,How well do current tools support each of the following activities? - Documentation,Have you received training for software development?,Where? - Selected Choice,Where? - Other - Text,Do you believe there are sufficient opportunities available for exploring or obtaining new software skills?,Do you have sufficient time to take the types of training you need to be successful?,"For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - On-site custom training","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - Workshops or short courses (e.g., before or after a conference)","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - Carpentries / software boot camps","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - Summer schools (in person or virtual)","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - MOOCs (massive open online courses), webinars, or self-directed online courses","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - Other",,Have you ever included costs for software development in a funding proposal?,Select all costs for software development in your funding proposals?,What percent of the funding for your software work comes from each of the following? - NSF,What percent of the funding for your software work comes from each of the following? - NIH,What percent of the funding for your software work comes from each of the following? - DoD,What percent of the funding for your software work comes from each of the following? - DoE,What percent of the funding for your software work comes from each of the following? - NASA,What percent of the funding for your software work comes from each of the following? - NOAA,What percent of the funding for your software work comes from each of the following? - Private foundation,What percent of the funding for your software work comes from each of the following? - Your own institution (e.g. faculty salary),What percent of the funding for your software work comes from each of the following? - Other,What percent of the funding for your software work comes from each of the following? - Other - Text,Does your institution provide support for your research software development activities in the following ways: - Financial,"Does your institution provide support for your research software development activities in the following ways: - Infrastructural (repositories, computing, etc.)",Does your institution provide support for your research software development activities in the following ways: - Consulting / RSE support,Does your institution provide support for your research software development activities in the following ways: - Other,,Does your institution provide / support the research software development you need in the following ways: - Financial,"Does your institution provide / support the research software development you need in the following ways: - Infrastructural (repositories, computing, etc.)",Does your institution provide / support the research software development you need in the following ways: - Consulting / RSE support,Does your institution provide / support the research software development you need in the following ways: - Other,,What are the most significant gaps in your current institutional / organizational support of software related research?,"In your institution, which of the following positions are available for people whose primary role is to develop research software? - Selected Choice","In your institution, which of the following positions are available for people whose primary role is to develop research software? - Other - Text","Is there opportunity for career advancement (e.g., tenure, more senior positions) for people whose primary role is to develop research software at your institution?","With regard to hiring and maintaining a highly qualified software development staff, how important are the following concerns? - Identifying a pipeline for future staff","With regard to hiring and maintaining a highly qualified software development staff, how important are the following concerns? - Attracting staff from underrepresented groups (e.g., race, gender, ethnicity, etc.)","With regard to hiring and maintaining a highly qualified software development staff, how important are the following concerns? - Availability of staff who can work across disciplines","With regard to hiring and maintaining a highly qualified software development staff, how important are the following concerns? - Competing with industry for top performers","With regard to hiring and maintaining a highly qualified software development staff, how important are the following concerns? - Offering a viable career path","With regard to hiring and maintaining a highly qualified software development staff, how important are the following concerns? - Opportunities to outsource skilled work","In your opinion: How important were the following concerns when you were hired into your current position? - Diversity in the organization (e.g., in terms of race, gender, ethnicity)",In your opinion: How important were the following concerns when you were hired into your current position? - Your experience as programmer or software engineer,In your opinion: How important were the following concerns when you were hired into your current position? - Your background in science,In your opinion: How important were the following concerns when you were hired into your current position? - Your knowledge of diverse programming languages,In your opinion: How important were the following concerns when you were hired into your current position? - Your knowledge and capabilities across disciplines,In your opinion: How important were the following concerns when you were hired into your current position? - Your potential for growth,"When you write a paper and the work being described uses software, how often do you use each of the following approaches to mention the software? - Cite paper about the software","When you write a paper and the work being described uses software, how often do you use each of the following approaches to mention the software? - Cite the software user’s manual","When you write a paper and the work being described uses software, how often do you use each of the following approaches to mention the software? - Mention the name of the software","When you write a paper and the work being described uses software, how often do you use each of the following approaches to mention the software? - Mention the URL of the software","When you write a paper and the work being described uses software, how often do you use each of the following approaches to mention the software? - Cite the URL of the software","When you write a paper and the work being described uses software, how often do you use each of the following approaches to mention the software? - Cite the published / archived software itself","When you write a paper and the work being described uses software, how often do you use each of the following approaches to mention the software? - Other",,How often do you currently receive the following types of credit for your software contributions? - (Co)author on research paper,How often do you currently receive the following types of credit for your software contributions? - (Co)author on software paper,How often do you currently receive the following types of credit for your software contributions? - Acknowledgement in paper,How often do you currently receive the following types of credit for your software contributions? - Software cited in a paper,How often do you currently receive the following types of credit for your software contributions? - Funded/hired to work on the software,How often do you currently receive the following types of credit for your software contributions? - Other,,"For your job role, does your institution allow software contributions to be considered in performance reviews or promotion cases?",How important do you believe software contributions are for your own performance review or promotion case?,How well does your project do the following: - Recruit participants from underrepresented groups,How well does your project do the following: - Retain participants from underrepresented groups,How well does your project do the following: - Include participants from underrepresented groups in governance and leadership positions,How well does your project do the following: - Maintain a culture of inclusion,What are the challenges you face in creating / maintaining a culture of inclusion?,"Does your project do any measurement, tracking, or analysis of developer or user communities - with regard to diversity and/or inclusion? If so, please describe below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_8_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}",,"{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_10_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID59_3""}","{""ImportId"":""QID59_4""}","{""ImportId"":""QID59_5""}","{""ImportId"":""QID59_6""}","{""ImportId"":""QID59_7""}","{""ImportId"":""QID59_8""}","{""ImportId"":""QID59_9""}","{""ImportId"":""QID59_10""}","{""ImportId"":""QID59_10_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_4_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}",,"{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID27_5""}","{""ImportId"":""QID27_6""}","{""ImportId"":""QID27_7""}","{""ImportId"":""QID27_8""}","{""ImportId"":""QID27_9""}","{""ImportId"":""QID27_9_TEXT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}",,"{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}",,"{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_8_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID40_5""}","{""ImportId"":""QID40_6""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID41_5""}","{""ImportId"":""QID41_6""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID44_6""}","{""ImportId"":""QID44_7""}",,"{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID45_5""}","{""ImportId"":""QID45_6""}",,"{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""QID72_4""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID74_TEXT""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2018 11:07,9/18/2018 12:15,FALSE,anonymous,EN,Combination,Educational institution,,United States of America,Faculty,,Biological sciences,35 - 44,16-20 years,Male,,About half the time,About half the time,About half the time,,,,,,0,0,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,100,0,,Frequently,Frequently,Frequently,Frequently,Frequently,Yes,1-3 projects,1-3 projects,None,,Very supported,Very supported,Very supported,Very supported,Very supported,Very supported,Very supported,Yes,"Class / school,Carpentry",,Yes,Yes,Development Techniques,Development Techniques,,Development Techniques,Development Techniques,Development Techniques,,Yes,,10,0,0,0,0,0,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2018 6:19,9/26/2018 6:27,TRUE,anonymous,EN,Combination,National lab,,United States of America,Faculty,,Mathematical and physical sciences,45 - 54,More than 20 years,Male,,Sometimes,Always,Always,Always,Secondary target,Primary target,Not at all,Not at all,10,5,15,15,20,10,5,20,0,0,,20,30,20,20,0,0,10,0,0,0,,Rarely,Somewhat,Rarely,Frequently,Rarely,No,1-3 projects,None,1-3 projects,None,Not supported at all,Slightly supported,Moderately supported,Slightly supported,Not supported at all,Not supported at all,Slightly supported,Yes,Class / school,,Yes,No,,,,,,,,Yes,For maintaining / sustaining software,0,0,0,100,0,0,0,0,0,,No,"Yes, but inadequate level of support","Yes, but inadequate level of support",,,,,,,,,"Research Software Engineer,Software Developer",,Yes - in my current institution,Very important,Moderately important,Very important,Extremely important,Extremely important,Not at all important,Not at all important,Not at all important,Extremely important,Not at all important,Not at all important,Moderately important,Most of the time,Sometimes,Always,Never,About half the time,Most of the time,,,Most of the time,Most of the time,Never,Never,Never,,,No,Slightly important,Poor,Good,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2018 6:19,9/26/2018 6:34,TRUE,anonymous,EN,Combination,Educational institution,,United States of America,Faculty,,Mathematical and physical sciences,45 - 54,More than 20 years,Male,,,Most of the time,Sometimes,,Primary target,Secondary target,Primary target,Secondary target,0,5,70,20,5,0,0,0,0,0,,5,10,50,20,5,5,2,1,2,0,,Frequently,Somewhat,Somewhat,Never,Rarely,No,,1-3 projects,1-3 projects,1-3 projects,Moderately supported,Slightly supported,Very supported,Very supported,Very supported,Moderately supported,Slightly supported,No,,,Yes,No,,,,"Languages,Development Techniques,Project Management","Languages,Development Techniques,Project Management",,,Yes,For developing new software,80,0,0,0,0,0,0,20,0,,"Yes, adequate level of support","Yes, but inadequate level of support",No,,,,,,,,,"Postdoc,Faculty,Research Faculty,Other",Research Assistants ,No - I would have to move to another institution,Moderately important,Not at all important,Very important,Slightly important,Very important,Slightly important,Not at all important,Not at all important,Extremely important,Not at all important,Slightly important,Very important,Most of the time,Never,Most of the time,Sometimes,Sometimes,Most of the time,,,About half the time,Sometimes,Sometimes,Sometimes,Sometimes,,,No,Moderately important,Good,Good,Average,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2018 6:22,9/26/2018 6:41,TRUE,anonymous,EN,Developers,National lab,,United States of America,Other,Research Scientist,Computer & information Science,45 - 54,16-20 years,Male,,Never,Sometimes,Sometimes,Most of the time,Not at all,Not at all,Primary target,Secondary target,5,5,10,10,10,10,10,15,5,20,management/paperwork,10,10,20,5,10,5,10,10,10,10,,Frequently,Somewhat,Somewhat,Rarely,Somewhat,Yes,None,1-3 projects,4+ projects,None,Not supported at all,Very supported,Extremely supported,Extremely supported,Extremely supported,Slightly supported,Moderately supported,Yes,Class / school,,Yes,No,,,,,,"Languages,Development Techniques,Project Management",,Yes,For developing new software,0,0,0,100,0,0,0,0,0,,,"Yes, adequate level of support",,,,,,,,,Time,"Postdoc,Other",Computer Systems Engineer,Yes - in my current institution,,,,,,,Not at all important,Moderately important,Not at all important,Extremely important,Not at all important,Very important,About half the time,Sometimes,Never,Never,About half the time,Never,,,Most of the time,Sometimes,Never,Sometimes,Never,,,Yes,Slightly important,Good,Average,Good,Good,Hidden biases,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2018 6:40,9/26/2018 6:57,TRUE,anonymous,EN,Combination,Educational institution,,United States of America,Research Faculty,,Mathematical and physical sciences,35 - 44,11 - 15 years,Male,,Never,Most of the time,Sometimes,Never,Not at all,Secondary target,Primary target,Not at all,0,0,30,20,30,10,10,0,0,0,,0,0,20,20,20,20,20,0,0,0,,Frequently,Somewhat,Somewhat,Frequently,Rarely,Yes,None,1-3 projects,1-3 projects,1-3 projects,Moderately supported,Moderately supported,Very supported,Very supported,Very supported,Moderately supported,Very supported,No,,,Yes,No,Development Techniques,"Languages,Project Management",,,,,,No,,100,0,0,0,0,0,0,0,0,,No,"Yes, but inadequate level of support","Yes, adequate level of support",,,,,,,,,"Research Programmer,Software Developer",,No - I would have to move to another institution,Not at all important,Very important,Very important,Not at all important,Moderately important,Slightly important,Very important,Slightly important,Very important,Not at all important,Very important,Moderately important,Most of the time,About half the time,Always,Never,About half the time,Most of the time,,,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,,Yes,Slightly important,Excellent,Excellent,Excellent,Excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2018 6:49,9/26/2018 7:17,TRUE,anonymous,EN,Researchers,Educational institution,,United States of America,Other,System administrator,"Biological sciences,Mathematical and physical sciences,Engineering,Computer & information Science,Medicine,Dentistry and health,Social sciences",55 - 64,More than 20 years,Male,,Most of the time,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,"Languages,Development Techniques,Project Management",,,,,"Languages,Development Techniques,Project Management",,No,,,,,,,,,,,,,,,,,"Yes, but inadequate level of support","Yes, but inadequate level of support","Yes, but inadequate level of support",,,"Not enough support, via matching funds, subsidy, or 'baseline amount', for software support.  This applies both the ongoing authorship, but also to ongoing support for the use and/or customization of existing packages.  In addition to writing the software, creating examples, good documentation, and backtracking to make written software more stable and less fragile is needed -- there is a large number of 'libraries' or 'packages' written in languages like R, Python, Ruby, and the like that have large dependency lists on specific minor, and in some cases sub-minor, version of yet other libraries or packages.  Creation is good, but it would be good to provide funding for documentation, more and better working examples, and for refactoring and maintenance.",Other,Staff of various titles,Don’t know,Moderately important,Moderately important,Very important,Moderately important,Very important,Slightly important,,,,,,,,,,,,,Never,,,,,,,,,Dependent on the position (programmer vs. faculty),Very important,Poor,Average,Poor,Average,"Without more candidates and applicants, it will be difficult.  I think there is a good environment when we can get applicants who are good, but the candidate pool is insufficiently diverse.",I'm sure our HR department does.  My group is small enough that we can look around.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2018 7:12,9/26/2018 7:24,TRUE,anonymous,EN,Developers,Educational institution,,United States of America,Research Software Engineer,,"Biological sciences,Engineering,Computer & information Science,Medicine,Forestry and veterinary science,Education,Architecture and planning",35 - 44,11 - 15 years,Male,,Most of the time,Most of the time,Sometimes,Never,Not at all,Primary target,Not at all,Secondary target,5,10,20,10,10,10,5,30,0,0,,10,20,40,10,5,10,5,0,0,0,,Rarely,Never,Rarely,Rarely,Rarely,Yes,1-3 projects,1-3 projects,1-3 projects,1-3 projects,Moderately supported,Moderately supported,Moderately supported,Moderately supported,Very supported,Moderately supported,Slightly supported,Yes,"Class / school,Other",Conferences,No,No,"Languages,Development Techniques",Development Techniques,,,Languages,,,Yes,"For developing new software,For maintaining / sustaining software",30,30,0,0,0,0,0,40,0,,"Yes, but inadequate level of support","Yes, adequate level of support","Yes, but inadequate level of support",,,,,,,,"It is a soft-money issue, finding more money to pay for the effort and convincing people the work is important.","Postdoc,Research Software Engineer,Research Programmer,Software Developer,Programmer,Faculty,Research Faculty",,Yes - in my current institution,,,,,,,Not at all important,Extremely important,Very important,Moderately important,Extremely important,Moderately important,Always,Never,Always,Sometimes,Sometimes,Sometimes,,,Most of the time,Never,,Sometimes,Sometimes,,,Dependent on the position (programmer vs. faculty),Very important,,,,,,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2018 7:12,9/26/2018 7:32,TRUE,anonymous,EN,Combination,National lab,,United States of America,Research Faculty,,"Mathematical and physical sciences,Computer & information Science",35 - 44,11 - 15 years,Male,,Sometimes,Most of the time,Sometimes,Sometimes,Secondary target,Secondary target,Primary target,Secondary target,2,10,33,10,15,10,5,5,10,0,,15,10,20,10,0,5,10,10,20,0,,Frequently,Frequently,Somewhat,Rarely,Rarely,Yes,1-3 projects,None,1-3 projects,1-3 projects,Moderately supported,Moderately supported,Very supported,Extremely supported,Moderately supported,Extremely supported,Very supported,Yes,Class / school,,Yes,No,"Languages,Development Techniques","Languages,Development Techniques","Languages,Development Techniques","Languages,Development Techniques","Development Techniques,Project Management",,,Yes,"For developing new software,For maintaining / sustaining software",12,0,0,81,0,0,0,0,7,"Self funded (Free time) PLUS DHS (2%, 5%)",No,"Yes, adequate level of support","Yes, adequate level of support",,,,,,,,"Recognition of how long it takes to make good software. Unrealistic delivery timelines. Insular issues, ie my main funding agency only wants to know how it will benefit THEM not science as a whole. Lack of appreciation just how important good software is. 

Program managers have no concept of CI, Unit testing etc.. ie they don't know what good SE practices entail. ","Postdoc,Research Software Engineer,Software Developer",,No - I would have to move to another institution,Very important,Slightly important,Moderately important,Very important,Very important,Not at all important,Not at all important,Slightly important,Extremely important,Slightly important,Moderately important,Extremely important,Always,About half the time,Always,Always,Sometimes,Always,,,About half the time,About half the time,Most of the time,About half the time,Sometimes,,,Yes,Extremely important,Average,,Average,Good,"Well, as a community project 1/2 the time I know people only by their GutHub handle :)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
